language,place_of_internship,company_name,person_in_charge,internship_title,cover_letter_text
german,", Köln",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich außerordentlich an, da sie perfekt zu meinen bisherigen Erfahrungen in DevOps und meiner akademischen Neugier für neue Technologien passt.

In meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich bereits praktische Erfahrung mit der Automatisierung von Prozessen gesammelt. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Dabei arbeitete ich regelmäßig mit REST-APIs, beispielsweise der Jira-API, für Monitoring und Datenerfassung. Diese Projekte haben mir ein tiefes Verständnis für stabile, effiziente Automatisierungslösungen vermittelt.

Mein Studium und meine Projekte haben mir zudem fundierte Programmierkenntnisse in Python und JavaScript sowie Erfahrung mit Cloud-Plattformen wie Google Cloud gebracht. In akademischen Projekten wie der Entwicklung einer Android-App zur Gebärdenspracherkennung mit TensorFlow Lite oder der Erstellung KI-basierter Robotersteuerungen mit MediaPipe konnte ich mich intensiv mit Machine Learning und Computer Vision auseinandersetzen. Ich arbeite mich gerne und schnell in neue Tech-Stacks ein – sei es ein neues Framework oder, wie in Ihrer Ausschreibung, eine Plattform wie n8n.

Die Mitwirkung bei der Entwicklung von LLM-gestützten Workflows und die Anbindung interner Systeme reizt mich sehr. Ich schätze eine strukturierte, dokumentierte Arbeitsweise und die enge Zusammenarbeit im Team, wie ich sie sowohl bei Ford als auch in interkulturellen Projektgruppen während meiner Auslandssemester erlebt habe. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und bin bereit, für die Dauer des Praktikums meinen Lebensmittelpunkt nach Köln zu verlegen.

Ich freue mich auf die Möglichkeit, mein Wissen in Automatisierung und mein Interesse an KI in Ihrem Team einzubringen und weiterzuentwickeln."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich außerordentlich an, da sie perfekt zu meinen bisherigen Erfahrungen in der Prozessautomatisierung und meinem Interesse an innovativen KI-Technologien passt.

In meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich bereits intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Dabei arbeitete ich regelmäßig mit REST-APIs, etwa der Jira-API, zur Integration und Datenerfassung. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen möchte ich gerne bei Ihnen einbringen.

Mein technisches Profil wird durch Projekte im Bereich Machine Learning und Robotik ergänzt, in denen ich Python, Computer Vision (OpenCV/MediaPipe) und Frameworks wie TensorFlow Lite eingesetzt habe. Für die Entwicklung von LLM-gestützten Workflows und KI-Agenten bringe ich somit fundierte Python-Kenntnisse und ein starkes Interesse an der praktischen Anwendung von KI-Modellen mit. Zudem verfüge ich über JavaScript-Erfahrung aus der Webentwicklung, die mir den Einstieg in n8n erleichtern wird.

Ich arbeite mich gerne und schnell in neue Tech-Stacks ein, was ich durch meine Erfahrung in interkulturellen Teams und die rasche Adoption verschiedener Technologien unter Beweis stellen konnte. Eine strukturierte, sorgfältige Arbeitsweise und die Wertschätzung klarer Dokumentation habe ich in meinen vorherigen Rollen verinnerlicht.

Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2) und freue mich auf die Möglichkeit, Ihr Team bei der Entwicklung und Standardisierung innovativer Automatisierungslösungen zu unterstützen. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen & passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen & passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung, API-Integration und der praktischen Anwendung von KI-Modellen spricht mich dabei außerordentlich an.

Meine praktischen Erfahrungen & passen sehr gut zu den beschriebenen Tätigkeiten. In meiner Position als Werkstudent im DevOps-Bereich bei Ford habe ich intensiv mit der Automatisierung von CI/CD-Pipelines gearbeitet. Dabei habe ich unter anderem Jenkins-Pipelines entwickelt und GitHub Actions implementiert, um Entwicklern direktes Feedback zu geben. Diese Projekte erforderten die Anbindung und Nutzung verschiedener APIs, was mir ein solides Verständnis für solche Integrationsprozesse vermittelt hat. Zudem habe ich in mehreren Projekten praktische Erfahrung mit Python gesammelt, etwa bei der Entwicklung einer Android-App zur Echtzeiterkennung von Gebärdensprache mit TensorFlow Lite und Computer Vision oder bei der Steuerung eines NAO-Roboters.

Die Aussicht, diese Kenntnisse nun im Kontext von n8n und der Entwicklung LLM-gestützter Workflows einzusetzen und zu erweitern, finde ich sehr spannend. Mein Studium mit Fokus auf eingebettete Systeme und meine Projekte im Bereich Machine Learning und Robotik haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Herangehensweise an komplexe Systeme ist. Ich arbeite mich gerne und schnell in neue Technologien ein, was mir bereits bei der Adoption verschiedener Tech-Stacks in interkulturellen Teams gelungen ist.

Ich kommuniziere sicher auf Deutsch (B2/C1 Fokus) und Englisch (B2) und freue mich auf die Möglichkeit, mein Wissen in Automatisierung und Softwareentwicklung in Ihr Team einzubringen und von der Zusammenarbeit mit dem AI-Team zu profitieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-basierten Agenten spricht mich außerordentlich an, da sie perfekt zu meinen bisherigen Erfahrungen in der Prozessautomatisierung und meiner Neugier für neue Technologien passt.

In meiner Position als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich bereits praktische Erfahrung mit der Automatisierung von Entwicklungsprozessen gesammelt. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Dabei arbeitete ich intensiv mit REST-APIs, was mir die nötige Grundlage für die Anbindung interner und externer Systeme bietet. Meine Programmierkenntnisse in Python und JavaScript, die ich in Projekten wie der Entwicklung einer Android-App mit TensorFlow Lite oder der Robotersteuerung mit NAOqi vertieft habe, sehe ich als solide Basis, um mich schnell in n8n und die Entwicklung von KI-gestützten Workflows einzuarbeiten.

Mich fasziniert die Idee, komplexe Prozesse durch intelligente Automatisierung effizienter zu gestalten. Projekte wie mein 8-Bit-VHDL-Computer haben mir gezeigt, wie wichtig eine strukturierte, dokumentierte und wiederverwendbare Arbeitsweise ist – genau die Qualitäten, die Sie für die Erstellung und Pflege von Workflow-Bausteinen suchen. Ich bin ein schneller Lerner, arbeite gerne eigenständig und habe Freude daran, mich in neue Tech-Stacks wie LLMs und agentische Systeme einzuarbeiten.

Ich spreche fließend Englisch und Deutsch auf verhandlungssicherem Niveau (B2/C1) und bin es gewohnt, in interkulturellen Teams zu kooperieren. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen. Ich freue mich auf die Möglichkeit, mein Wissen in der Praxis einzubringen und von Ihrem AI-Team zu lernen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich außerordentlich an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Dabei habe ich regelmäßig mit REST-APIs, wie der von Jira und GitHub, gearbeitet, um Systeme anzubinden und Daten zu verarbeiten. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen möchte ich gerne in Ihr Team einbringen.

Meine Programmierkenntnisse in Python und JavaScript, die ich in Projekten wie der Android-App für Gebärdenspracherkennung oder meinen Robotikanwendungen mit MediaPipe vertieft habe, bilden eine solide Grundlage. Zudem habe ich mich in meinen akademischen Projekten, beispielsweise mit YOLOv8 für Chord-Erkennung, bereits mit Machine-Learning-Konzepten auseinandergesetzt. Ich arbeite mich gerne und schnell in neue Technologien und Tech-Stacks ein – sei es ein neues Framework oder ein Tool wie n8n.

Ich schätze eine strukturierte, dokumentierte Arbeitsweise und habe Freude daran, wiederverwendbare Bausteine und stabile Lösungen zu entwickeln, die Prozesse effizienter machen. Durch mein Studium in Mexiko und Deutschland bin ich es gewohnt, in interkulturellen Teams zu arbeiten und mich eigenständig in neue Themen einzuarbeiten. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2).

Ich freue mich sehr auf die Möglichkeit, Ihr Team bei der Entwicklung und Weiterentwicklung von automatisierten Workflows und KI-Agenten zu unterstützen und meine praktischen Erfahrungen einzubringen. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Köln, ",AKDB,Recruiting-Team,Bewerbung als Praktikant – Workflow Automation & Agentic AI,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum im Bereich Workflow Automation & Agentic AI in Köln gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die Kombination aus Automatisierung und KI-gestützten Agenten spricht mich außerordentlich an, da sie perfekt zu meiner bisherigen Erfahrung in der Prozessautomatisierung und meinem Interesse an innovativen Technologien passt.

Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company habe ich intensiv an der Automatisierung von CI/CD-Pipelines gearbeitet. Ich entwickelte Jenkins-Pipelines für die Syntaxvalidierung und implementierte automatisierte Workflows mit GitHub Actions, um Entwicklern direktes Feedback zu geben. Dabei habe ich regelmäßig mit REST-APIs, wie der von Jira und GitHub, gearbeitet, um Systeme anzubinden und Daten zu verarbeiten. Diese praktische Erfahrung im Aufbau und Betrieb von Automatisierungslösungen möchte ich gerne in Ihr Team einbringen.

Meine Programmierkenntnisse in Python und JavaScript, die ich in Projekten wie der Android-App für Gebärdenspracherkennung oder meinen Robotikanwendungen mit MediaPipe vertieft habe, bilden eine solide Grundlage. Zudem habe ich mich in meinen akademischen Projekten, beispielsweise mit YOLOv8 für Chord-Erkennung, bereits mit Machine-Learning-Konzepten auseinandergesetzt. Ich arbeite mich gerne und schnell in neue Technologien und Tech-Stacks ein – sei es ein neues Framework oder ein Tool wie n8n.

Ich schätze eine strukturierte, dokumentierte Arbeitsweise und habe Freude daran, wiederverwendbare Bausteine und stabile Lösungen zu entwickeln, die Prozesse effizienter machen. Durch mein Studium in Mexiko und Deutschland bin ich es gewohnt, in interkulturellen Teams zu arbeiten und mich eigenständig in neue Themen einzuarbeiten. Ich kommuniziere sicher auf Deutsch (B2/C1) und Englisch (B2).

Ich freue mich sehr auf die Möglichkeit, Ihr Team bei der Entwicklung und Weiterentwicklung von automatisierten Workflows und KI-Agenten zu unterstützen und meine praktischen Erfahrungen einzubringen. Für die Dauer des Praktikums bin ich gerne bereit, nach Köln zu ziehen."
german,"Ludwigshafen am Rhein, Renania-Palatinado, Alemania",Computacenter,Recruiting-Team,Bewerbung als Praktikant - Trainee IT Consulting - Workplace w/m/d,"Sehr geehrtes Recruiting-Team,

mit großem Interesse habe ich Ihre Ausschreibung für das Praktikum als Trainee IT Consulting - Workplace auf Ihrer Karriereseite gelesen. Als Student der Technischen Informatik und DAAD-KOSPIE-Stipendiat an der Georg-August-Universität Göttingen suche ich für den Zeitraum von März bis August 2026 ein sechsmonatiges Pflichtpraktikum. Die beschriebene Tätigkeit, innovative Lösungen mit modernsten Microsoft- und Apple-Technologien umzusetzen, spricht mich sehr an.

Mein Studium mit Fokus auf Computer Systems Engineering und meine praktischen Erfahrungen haben mir ein breites IT-Grundverständnis vermittelt. Während meiner Tätigkeit als Werkstudent im DevOps-Bereich bei der Ford Motor Company konnte ich bereits intensive Praxiserfahrung in agilen Umgebungen sammeln. Ich habe CI/CD-Pipelines mit Jenkins entwickelt, Prozesse mit GitHub Actions automatisiert und mich in die Nutzung verschiedener APIs eingearbeitet. Diese Erfahrung hat mir gezeigt, wie ich mich schnell in neue Tech-Stacks und Arbeitsmethoden einarbeite.

Die in der Ausschreibung genannten Themen wie die Digitalisierung des Arbeitsplatzes, das Management von Devices und die Zusammenarbeit über Unified Communication & Collaboration-Plattformen finde ich äußerst spannend. Durch Projekte in den Bereichen Cloud Computing, Webentwicklung und Mobile Robotics konnte ich bereits Berührungspunkte mit verwandten Technologien sammeln. Meine technischen Kenntnisse umfassen unter anderem Python, Java, JavaScript sowie Erfahrungen mit Google Cloud und React.

Ich bringe eine hohe Beratungsaffinität und kommunikative Fähigkeiten mit, die ich in interkulturellen Teams während meiner Studienaufenthalte in Mexiko und Deutschland stetig weiterentwickelt habe. Ich spreche fließend Englisch (TOEFL B2) und Deutsch auf fortgeschrittenem Niveau (B2/C1), was eine reibungslose Kommunikation in internationalen Teams ermöglicht. Die geforderte Reisebereitschaft ist für mich selbstverständlich gegeben.

Ich bin überzeugt, dass ich mit meiner praktischen Erfahrung, meiner schnellen Auffassungsgabe und meiner Begeisterung für IT-Lösungen eine wertvolle Bereicherung für Ihr Team sein kann. Gerne würde ich meine Fähigkeiten in Ihrem Unternehmen einbringen und vertiefen.

Über die Gelegenheit, mich in einem persönlichen Gespräch näher vorzustellen, würde ich mich sehr freuen."
